,Date,Open,High,Low,Close,DaiVolume,Market Cap,DaiMean
218,19-Sep-20,1.02,1.03,1.01,1.02,83677339,792393958,1.02
219,18-Sep-20,1.02,1.14,0.9811,1.02,114629864,696373910,1.02
220,17-Sep-20,1.02,1.02,0.9965,1.02,112101123,638940700,1.02
221,16-Sep-20,1.03,1.04,0.9941,1.01,90529872,578467903,1.02
222,15-Sep-20,1.03,1.05,1.02,1.03,108338175,618706315,1.03
223,14-Sep-20,1.02,1.07,1.02,1.03,155071912,539546267,1.025
224,13-Sep-20,1.03,1.04,1.02,1.03,74853268,474953501,1.03
225,12-Sep-20,1.04,1.05,1.03,1.03,50428522,475012549,1.035
226,11-Sep-20,1.04,1.05,1.03,1.04,58006718,468044952,1.04
227,10-Sep-20,1.03,1.05,1.02,1.04,67859537,465352167,1.035
228,9-Sep-20,1.03,1.04,1.01,1.03,92030155,441667075,1.03
229,8-Sep-20,1.03,1.05,1.01,1.03,72821912,441220960,1.03
230,7-Sep-20,1.02,1.03,1.01,1.03,78474368,438951336,1.025
231,6-Sep-20,1.03,1.03,1.01,1.02,98708127,432368237,1.025
232,5-Sep-20,1.03,1.04,1.02,1.03,171832358,449338598,1.03
233,4-Sep-20,1.03,1.03,1.01,1.03,108271040,469526590,1.03
234,3-Sep-20,1.01,1.03,0.9995,1.03,105660538,524726626,1.02
235,2-Sep-20,1.01,1.04,0.997,1.01,98200894,490148098,1.01
236,1-Sep-20,1.02,1.04,1,1.01,92370028,466319516,1.015
237,31-Aug-20,1.03,1.03,1.01,1.02,66788239,453219651,1.025
238,30-Aug-20,1.03,1.06,0.9953,1.03,75188538,453401560,1.03
239,29-Aug-20,1.01,1.05,0.9994,1.03,67376514,450452278,1.02
240,28-Aug-20,1.01,1.02,1,1.01,58064216,450362705,1.01
241,27-Aug-20,1.01,1.02,1.01,1.01,48510201,448272924,1.01
242,26-Aug-20,1.02,1.02,1.01,1.01,41065938,452493912,1.015
243,25-Aug-20,1.02,1.02,1.01,1.02,48593199,451214444,1.02
244,24-Aug-20,1,1.02,0.9968,1.01,51987764,448147853,1.005
245,23-Aug-20,0.9993,1.03,0.9949,1,49052217,443127139,0.99965
246,22-Aug-20,1.01,1.01,0.996,1,49162113,441467224,1.005
247,21-Aug-20,1.01,1.06,0.9792,1,62365746,435307436,1.005
248,20-Aug-20,1,1.02,0.9859,1.01,55259448,434706111,1.005
249,19-Aug-20,1,1.02,1,1.01,64419679,421731733,1.005
250,18-Aug-20,1.01,1.01,0.9999,1,45204715,428485814,1.005
251,17-Aug-20,1.01,1.02,0.9998,1.01,46042603,429198941,1.01
252,16-Aug-20,1,1.02,1,1.01,41227604,425048488,1.005
253,15-Aug-20,1.01,1.01,0.9979,1,44107861,413758074,1.005
