,Date,Open,High,Low,Close,PolkaVolume,Market Cap,PolkaMean
206,1-Oct-20,4.35,4.58,4.26,4.34,445143708,3703757887,4.345
207,30-Sep-20,4.5,4.5,4.25,4.35,378446620,3708830409,4.425
208,29-Sep-20,4.42,4.6,4.36,4.5,508965929,3837300168,4.46
209,28-Sep-20,4.3,4.58,4.27,4.4,543507456,3749825721,4.35
210,27-Sep-20,4.34,4.36,4.16,4.31,316361927,3675151412,4.325
211,26-Sep-20,4.42,4.46,4.24,4.35,329745176,3707023756,4.385
212,25-Sep-20,4.38,4.53,4.26,4.42,425191119,3769516671,4.4
213,24-Sep-20,4.02,4.4,3.99,4.38,437573446,3736279268,4.2
214,23-Sep-20,4.17,4.32,3.97,4.03,557062766,3437376886,4.1
215,22-Sep-20,4.09,4.21,3.92,4.17,673117344,3559346335,4.13
216,21-Sep-20,4.67,4.7,3.95,4.09,1096736657,3491249077,4.38
217,20-Sep-20,4.93,4.97,4.42,4.67,798507891,3983952932,4.8
218,19-Sep-20,5.25,5.26,4.82,4.93,605268040,4199640091,5.09
219,18-Sep-20,5.34,5.46,5.11,5.25,683398180,4472788249,5.295
220,17-Sep-20,5.08,5.42,5.06,5.34,776350363,4549984896,5.21
221,16-Sep-20,5.07,5.28,4.99,5.08,792360521,4331724983,5.075
222,15-Sep-20,5.37,5.45,5.1,5.1,897864384,4344841941,5.235
223,14-Sep-20,5.3,5.6,5.13,5.35,1008259712,4560564714,5.325
224,13-Sep-20,5.15,5.48,4.81,5.3,1099475714,4517285669,5.225
225,12-Sep-20,4.65,5.28,4.52,5.14,753745737,4380082751,4.895
226,11-Sep-20,4.58,4.75,4.32,4.65,633472140,3961031724,4.615
227,10-Sep-20,4.71,4.87,4.47,4.58,633577674,3906477359,4.645
228,9-Sep-20,4.28,4.8,4.16,4.71,534097094,4015065991,4.495
229,8-Sep-20,4.59,4.62,4.12,4.27,519440288,3644492936,4.43
230,7-Sep-20,4.8,4.82,4.03,4.59,675375183,3917633675,4.695
231,6-Sep-20,4.14,4.9,3.76,4.8,924160482,4092255324,4.47
232,5-Sep-20,5.14,5.31,3.65,4.12,805800385,3514880375,4.63
233,4-Sep-20,5.73,5.98,4.63,5.15,845787793,4387757398,5.44
234,3-Sep-20,6.13,6.32,5.68,5.75,763663457,4900906249,5.94
235,2-Sep-20,6.28,6.43,5.66,6.14,584155028,5234800947,6.21
236,1-Sep-20,6.3,6.84,6.17,6.29,601527409,0,6.295
237,31-Aug-20,5.91,6.46,5.77,6.3,512604781,0,6.105
238,30-Aug-20,6.15,6.22,5.75,5.87,485335136,0,6.01
239,29-Aug-20,6.18,6.56,6.04,6.16,527290028,0,6.17
240,28-Aug-20,5.64,6.33,5.54,6.16,727162235,0,5.9
241,27-Aug-20,6.08,6.79,5.31,5.63,1289248953,0,5.855
242,26-Aug-20,5.54,6.55,5.14,6.08,1054351759,0,5.81
243,25-Aug-20,4.58,5.76,4.5,5.52,898847538,0,5.05
244,24-Aug-20,3.99,4.78,3.81,4.6,407690171,0,4.295
245,23-Aug-20,4.49,4.49,3.72,3.97,320749483,0,4.23
246,22-Aug-20,2.88,4.51,2.82,4.48,485801096,0,3.68
247,21-Aug-20,2.9,3.09,2.73,2.88,49313137,0,2.89
